ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
37832,Andrej Gaina,M,26,185,85,Croatia,CRO,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Men's Singles,,24.835646457268076
37832,Andrej Gaina,M,30,185,85,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,,24.835646457268076
37964,Milorad Gajovi,M,34,185,91,Montenegro,MNE,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,,26.588750913075234
38022,Miha Gale,M,21,174,79,Slovenia,SLO,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Men's Aerials,,26.09327520147972
38022,Miha Gale,M,25,174,79,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Men's Aerials,,26.09327520147972
38047,Anita Gali,F,19,178,73,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,,23.04002019946976
38047,Anita Gali,F,19,178,73,Croatia,CRO,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 800 metres Freestyle,,23.04002019946976
38048,Dominik Gali,M,21,,,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,,
38083,arko Galjani,M,23,185,87,Croatia,CRO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,,25.420014609203797
38083,arko Galjani,M,23,185,87,Croatia,CRO,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,,25.420014609203797
38711,Xavier Garca Gadea,M,32,198,92,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Silver,23.46699316396286
38805,Amar Garibovi,M,18,190,75,Serbia,SRB,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,20.775623268698062
38967,Renato Gapar,M,20,170,70,Croatia,CRO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,,24.221453287197235
38967,Renato Gapar,M,20,170,70,Croatia,CRO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,24.221453287197235
39169,Sanja Gavrilovi,F,21,178,80,Croatia,CRO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Hammer Throw,,25.24933720489837
39169,Sanja Gavrilovi,F,25,178,80,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Hammer Throw,,25.24933720489837
39670,Dmitrj Gerasimenko,M,24,184,90,Serbia,SRB,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,,26.583175803402646
39748,Andrija Geri,M,19,203,101,Serbia and Montenegro,SCG,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Bronze,24.509209153340297
39748,Andrija Geri,M,23,203,101,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold,24.509209153340297
39748,Andrija Geri,M,27,203,101,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,,24.509209153340297
39748,Andrija Geri,M,31,203,101,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,,24.509209153340297
40667,Dragana Gladovi,F,19,168,57,Serbia,SRB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Featherweight,,20.19557823129252
40706,Anton Glasnovi,M,31,184,82,Croatia,CRO,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,,24.22022684310019
40706,Anton Glasnovi,M,31,184,82,Croatia,CRO,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Double Trap,,24.22022684310019
40707,Josip Glasnovi,M,25,178,82,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Trap,,25.88057063502083
40707,Josip Glasnovi,M,33,178,82,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,Gold,25.88057063502083
40726,Damir Glavan,M,22,,,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Silver,
40731,Davor Glavina,M,33,173,70,Slovenia,SLO,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's Two Person Dinghy,,23.38868655818771
40775,Biljana Gligorovi,F,18,182,65,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,,19.623233908948194
40788,Toma Globonik,M,25,178,69,Slovenia,SLO,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,,21.777553339224845
40788,Toma Globonik,M,25,178,69,Slovenia,SLO,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,,21.777553339224845
